epoch,train_loss,train_mae,val_loss,val_mae,train_loss_complete,val_loss_complete
0,0.3363,0.809,0.1973,0.638,True,True
1,0.1756,0.574,0.1538,0.539,True,True
2,0.1521,0.525,0.1305,0.469,True,True
3,0.1404,0.502,0.137,0.497,True,True
4,0.1318,0.481,0.1269,0.458,True,True
5,0.1215,0.459,0.1205,0.451,True,True
6,0.1207,0.455,0.1453,0.519,True,True
7,0.1192,0.455,0.1056,0.418,True,True
8,0.11,0.435,0.1117,0.429,True,True
9,0.1079,0.431,0.1059,0.411,True,True
10,0.1017,0.413,0.1005,0.419,True,True
11,0.1001,0.41,0.111,0.401,True,True
12,0.0956,0.402,0.0918,0.377,True,True
13,0.0938,0.397,0.0901,0.376,True,True
14,0.0905,0.387,0.0988,0.405,True,True
15,0.0885,0.385,0.0887,0.372,True,True
16,0.089,0.385,0.1019,0.387,True,True
17,0.085,0.376,0.0891,0.386,True,True
18,0.0896,0.393,0.0877,0.368,True,True
19,0.0861,0.382,0.0892,0.396,True,True
20,0.0824,0.372,0.0969,0.412,True,True
21,0.0814,0.366,0.0888,0.38,True,True
22,0.0791,0.362,0.0865,0.355,True,True
23,0.0787,0.361,0.0771,0.349,True,True
24,0.0792,0.365,0.0779,0.358,True,True
25,0.0803,0.366,0.0869,0.372,True,True
26,0.0773,0.356,0.0741,0.331,True,True
27,0.075,0.349,0.0795,0.359,True,True
28,0.0742,0.346,0.0798,0.342,True,True
29,0.0728,0.345,0.0787,0.349,True,True
