epoch,train_loss,train_mae,val_loss,val_mae,train_loss_complete,val_loss_complete
0,0.4042,0.414,0.0797,0.227,True,True
1,0.0728,0.202,0.0503,0.16,True,True
2,0.0596,0.183,0.0568,0.182,True,True
3,0.0482,0.162,0.0323,0.123,True,True
4,0.0446,0.158,0.0348,0.13,True,True
5,0.0408,0.149,0.0316,0.135,True,True
6,0.0375,0.145,0.0265,0.112,True,True
7,0.0373,0.145,0.0269,0.113,True,True
8,0.0339,0.137,0.0242,0.109,True,True
9,0.0311,0.133,0.0426,0.174,True,True
10,0.0317,0.135,0.0224,0.107,True,True
11,0.0289,0.128,0.0218,0.097,True,True
12,0.0287,0.127,0.0214,0.105,True,True
13,0.0269,0.124,0.0208,0.1,True,True
14,0.0262,0.12,0.0229,0.113,True,True
15,0.0326,0.139,0.0272,0.125,True,True
16,0.0247,0.118,0.0225,0.104,True,True
17,0.0247,0.119,0.0202,0.1,True,True
18,0.0238,0.117,0.0176,0.09,True,True
19,0.0224,0.113,0.0239,0.11,True,True
20,0.0237,0.116,0.021,0.109,True,True
21,0.0259,0.123,0.0202,0.109,True,True
22,0.0225,0.114,0.0161,0.09,True,True
23,0.0203,0.108,0.0456,0.185,True,True
24,0.0211,0.11,0.016,0.092,True,True
25,0.02,0.107,0.0172,0.095,True,True
26,0.0184,0.101,0.0153,0.081,True,True
27,0.0201,0.108,0.0238,0.117,True,True
28,0.0173,0.098,0.027,0.137,True,True
29,0.0181,0.102,0.0178,0.091,True,True
