epoch,train_loss,train_mae,val_loss,val_mae,train_loss_complete,val_loss_complete
0,1.9308,1.216,16.3622,4.506,True,True
1,2.1327,1.099,6.8418,2.813,True,True
2,1.4177,1.088,2.7206,1.491,True,True
3,1.3013,0.948,0.5485,0.681,True,True
4,1.1208,0.966,1.5793,1.302,True,True
5,1.0734,0.788,1.4111,1.067,True,True
6,0.5062,0.726,1.8813,1.372,True,True
7,1.1066,0.981,1.3868,1.162,True,True
8,0.8328,0.727,0.5253,0.613,True,True
9,0.4826,0.607,0.7731,0.789,True,True
10,0.6048,0.65,1.1097,0.933,True,True
11,0.5045,0.654,1.4757,0.999,True,True
12,0.5033,0.65,1.7087,1.165,True,True
13,1.227,1.035,1.2832,0.962,True,True
14,0.4555,0.59,0.7893,0.72,True,True
15,0.4198,0.544,0.6789,0.71,True,True
16,0.4583,0.621,0.7398,0.776,True,True
17,0.6671,0.708,0.7797,0.786,True,True
18,0.4556,0.602,0.8537,0.778,True,True
19,0.4129,0.62,0.9189,0.74,True,True
20,0.481,0.569,0.9033,0.762,True,True
21,0.3438,0.552,0.9166,0.741,True,True
22,0.3831,0.583,0.8543,0.751,True,True
23,0.2236,0.417,0.7847,0.77,True,True
24,0.3531,0.482,0.7151,0.753,True,True
25,0.1736,0.346,0.6666,0.72,True,True
26,0.2621,0.389,0.6764,0.686,True,True
27,0.3092,0.49,0.6991,0.687,True,True
28,0.2448,0.449,0.7397,0.699,True,True
29,0.0748,0.244,0.892,0.789,True,True
