epoch,train_loss,train_mae,val_loss,val_mae,train_loss_complete,val_loss_complete
0,0.8088,2.284,2.1745,3.755,True,True
1,1.1213,2.794,11.5056,9.963,True,True
2,0.8976,2.512,0.7329,2.53,True,True
3,0.1831,1.222,0.8732,2.544,True,True
4,0.1926,1.303,1.6702,2.969,True,True
5,0.5142,2.062,0.8569,2.547,True,True
6,0.1609,1.099,0.751,2.545,True,True
7,0.0855,0.767,1.1267,2.541,True,True
8,0.2388,1.415,0.7346,2.535,True,True
9,0.0098,0.258,0.702,2.526,True,True
10,0.1569,1.178,0.9721,2.518,True,True
11,0.0355,0.473,1.1985,2.51,True,True
12,0.0964,0.894,0.7831,2.503,True,True
13,0.0414,0.551,0.7759,2.498,True,True
14,0.0674,0.726,1.1962,2.495,True,True
15,0.0329,0.486,1.3342,2.492,True,True
16,0.0522,0.664,0.9755,2.489,True,True
17,0.0126,0.317,0.8993,2.486,True,True
18,0.0481,0.651,1.1867,2.483,True,True
19,0.0045,0.171,1.4592,2.689,True,True
20,0.0427,0.592,1.2594,2.473,True,True
21,0.0063,0.191,1.0134,2.468,True,True
22,0.0248,0.453,1.0552,2.461,True,True
23,0.0146,0.344,1.3101,2.455,True,True
24,0.0079,0.243,1.4013,2.618,True,True
25,0.0221,0.43,1.1906,2.442,True,True
26,0.0025,0.134,1.0275,2.436,True,True
27,0.0177,0.373,1.0859,2.431,True,True
28,0.0064,0.209,1.2675,2.425,True,True
29,0.0057,0.212,1.3091,2.479,True,True
