epoch,train_loss,train_mae,val_loss,val_mae,train_loss_complete,val_loss_complete
0,1.2481,0.548,0.7919,0.387,False,False
1,0.6934,0.362,0.7393,0.329,False,False
2,0.6393,0.342,0.5944,0.326,False,False
3,0.5966,0.33,0.5397,0.349,False,False
4,0.4976,0.321,0.4636,0.339,False,False
5,0.5807,0.327,0.5834,0.366,False,False
6,0.4607,0.309,0.7531,0.423,False,False
7,0.5059,0.332,0.4581,0.354,False,False
8,0.5621,0.321,0.3829,0.319,False,False
9,0.4755,0.305,0.5838,0.338,False,False
10,0.4613,0.301,0.2806,0.333,False,False
11,0.4173,0.3,0.5351,0.35,False,False
12,0.5503,0.317,0.8359,0.345,False,False
13,0.4822,0.3,0.6196,0.343,False,False
14,0.4698,0.303,0.4553,0.325,False,False
15,0.4517,0.3,0.4468,0.312,False,False
16,0.4156,0.288,0.6057,0.317,False,False
17,0.4404,0.294,0.5318,0.318,False,False
18,0.41,0.299,0.3917,0.336,False,False
19,0.4236,0.295,0.4712,0.35,False,False
20,0.4338,0.301,0.6997,0.366,False,False
21,0.6189,0.349,0.6919,0.366,False,False
22,0.4234,0.301,0.6489,0.315,False,False
23,0.4355,0.301,0.568,0.331,False,False
24,0.4276,0.294,0.3476,0.322,False,False
25,0.4376,0.301,0.5448,0.345,False,False
26,0.395,0.292,0.4849,0.315,False,False
27,0.4195,0.291,0.5213,0.32,False,False
28,0.3483,0.275,0.5069,0.361,False,False
29,0.3819,0.284,0.4495,0.315,False,False
